iter	Passed	Remaining
496	2135	2161
497	2138	2155
498	2140	2149
499	2143	2143
500	2146	2137
501	2148	2131
502	2150	2124
503	2160	2125
504	2164	2121
505	2166	2115
506	2169	2109
507	2173	2104
508	2176	2099
509	2178	2093
510	2192	2097
511	2196	2093
512	2199	2088
513	2201	2081
514	2204	2075
515	2206	2069
516	2215	2069
517	2218	2064
518	2220	2058
519	2223	2052
520	2226	2046
521	2229	2041
522	2231	2035
523	2234	2029
524	2236	2023
525	2239	2018
526	2241	2012
527	2244	2006
528	2246	2000
529	2249	1994
530	2252	1989
531	2255	1983
532	2257	1977
533	2259	1971
534	2261	1965
535	2263	1959
536	2266	1953
537	2268	1947
538	2270	1941
539	2272	1935
540	2275	1930
541	2277	1924
542	2279	1918
543	2281	1912
544	2283	1906
545	2286	1901
546	2288	1895
547	2290	1889
548	2293	1883
549	2295	1878
550	2298	1872
551	2300	1867
552	2302	1861
553	2305	1855
554	2307	1849
555	2309	1844
556	2311	1838
557	2313	1832
558	2316	1827
559	2319	1822
560	2327	1821
561	2330	1816
562	2333	1810
563	2335	1805
564	2337	1799
565	2341	1795
566	2344	1790
567	2364	1798
568	2369	1794
569	2372	1789
570	2375	1784
571	2378	1779
572	2380	1774
573	2384	1769
574	2387	1764
575	2390	1759
576	2392	1754
577	2395	1749
578	2410	1752
579	2412	1747
580	2415	1741
581	2418	1737
582	2421	1732
583	2424	1726
584	2426	1721
585	2429	1716
586	2431	1710
587	2433	1705
588	2436	1699
589	2438	1694
590	2441	1689
591	2444	1684
592	2447	1679
593	2450	1674
594	2453	1670
595	2456	1665
596	2459	1660
597	2462	1655
598	2465	1650
599	2468	1645
600	2470	1640
601	2473	1635
602	2476	1630
603	2479	1625
604	2482	1620
605	2484	1615
606	2487	1610
607	2489	1605
608	2492	1600
609	2494	1595
610	2497	1589
611	2499	1584
612	2502	1579
613	2505	1575
614	2508	1570
615	2510	1564
616	2512	1559
617	2515	1554
618	2517	1549
619	2520	1544
620	2522	1539
621	2525	1534
622	2529	1530
623	2531	1525
624	2534	1520
625	2536	1515
626	2539	1510
627	2541	1505
628	2545	1501
629	2565	1506
630	2568	1501
631	2570	1496
632	2573	1492
633	2576	1487
634	2579	1482
635	2581	1477
636	2584	1472
637	2587	1468
638	2589	1463
639	2592	1458
640	2595	1453
641	2597	1448
642	2600	1443
643	2603	1439
644	2606	1434
645	2610	1430
646	2614	1426
647	2617	1421
648	2620	1417
649	2623	1412
650	2625	1407
651	2627	1402
652	2630	1397
653	2633	1393
654	2636	1388
655	2638	1383
656	2641	1379
657	2644	1374
658	2647	1370
659	2651	1366
660	2654	1361
661	2657	1356
662	2660	1352
663	2663	1347
664	2665	1342
665	2668	1338
666	2670	1333
667	2673	1328
668	2676	1324
669	2679	1319
670	2683	1315
671	2685	1310
672	2691	1307
673	2694	1303
674	2697	1298
675	2699	1293
676	2702	1289
677	2704	1284
678	2707	1279
679	2709	1275
680	2712	1270
681	2714	1265
682	2717	1261
683	2720	1256
684	2723	1252
685	2726	1248
686	2729	1243
687	2732	1239
688	2735	1234
689	2739	1230
690	2742	1226
691	2745	1221
692	2748	1217
693	2751	1213
694	2753	1208
695	2756	1203
696	2759	1199
697	2762	1195
698	2765	1190
699	2768	1186
700	2770	1181
701	2773	1177
702	2775	1172
703	2797	1176
704	2799	1171
705	2802	1167
706	2804	1162
707	2807	1157
708	2810	1153
709	2813	1148
710	2815	1144
711	2818	1140
712	2821	1135
713	2824	1131
714	2827	1127
715	2830	1122
716	2838	1120
717	2842	1116
718	2845	1112
719	2848	1107
720	2850	1103
721	2853	1098
722	2855	1094
723	2858	1089
724	2860	1085
725	2863	1080
726	2865	1076
727	2868	1071
728	2870	1067
729	2873	1062
730	2875	1058
731	2877	1053
732	2880	1049
733	2883	1044
734	2887	1041
735	2892	1037
736	2894	1033
737	2897	1028
738	2900	1024
739	2903	1020
740	2908	1016
741	2910	1012
742	2913	1007
743	2916	1003
744	2919	999
745	2922	994
746	2924	990
747	2927	986
748	2931	982
749	2934	978
750	2937	973
751	2939	969
752	2950	967
753	2961	966
754	2964	961
755	2966	957
756	2971	953
757	2973	949
758	2976	944
759	2979	941
760	2982	936
761	2984	932
762	2986	927
763	2990	923
764	2992	919
765	2994	914
766	2997	910
767	2999	906
768	3001	901
769	3004	897
770	3007	893
771	3009	888
772	3012	884
773	3014	880
774	3016	875
775	3020	871
776	3023	867
777	3025	863
778	3028	859
779	3031	854
780	3035	851
781	3038	847
782	3041	842
783	3043	838
784	3046	834
785	3048	829
786	3051	825
787	3053	821
788	3056	817
789	3058	813
790	3060	808
791	3063	804
792	3066	800
793	3069	796
794	3071	792
795	3073	787
796	3076	783
797	3079	779
798	3081	775
799	3084	771
800	3087	767
801	3089	762
802	3091	758
803	3094	754
804	3096	750
805	3098	745
806	3101	741
807	3105	737
808	3122	737
809	3128	733
810	3131	729
811	3202	741
812	3205	737
813	3211	733
814	3213	729
815	3216	725
816	3219	721
817	3221	716
818	3225	712
819	3228	708
820	3234	705
821	3236	700
822	3365	723
823	3395	725
824	3397	720
825	3399	716
826	3413	713
827	3415	709
828	3419	705
829	3422	700
830	3424	696
831	3426	691
832	3431	687
833	3434	683
834	3437	679
835	3440	675
836	3443	670
837	3446	666
838	3453	662
839	3455	658
840	3457	653
841	3459	649
842	3461	644
843	3484	644
844	3486	639
845	3489	635
846	3491	630
847	3495	626
848	3497	622
849	3500	617
850	3502	613
851	3505	608
852	3508	604
853	3510	600
854	3511	595
855	3514	591
856	3516	586
857	3520	582
858	3522	578
859	3525	573
860	3528	569
861	3531	565
862	3533	560
863	3536	556
864	3538	552
865	3540	547
866	3544	543
867	3547	539
868	3549	535
869	3552	530
870	3554	526
871	3556	522
872	3560	517
873	3563	513
874	3565	509
875	3567	504
876	3569	500
877	3571	496
878	3575	492
879	3577	487
880	3579	483
881	3581	479
882	3583	474
883	3585	470
884	3588	466
885	3590	461
886	3592	457
887	3594	453
888	3597	449
889	3600	444
890	3607	441
891	3614	437
892	3616	433
893	3619	429
894	3622	424
895	3624	420
896	3627	416
897	3630	412
898	3633	408
899	3635	403
900	3638	399
901	3640	395
902	3642	391
903	3644	387
904	3646	382
905	3656	379
906	3658	375
907	3663	371
908	3666	367
909	3669	362
910	3671	358
911	3673	354
912	3675	350
913	3678	346
914	3680	341
915	3682	337
916	3684	333
917	3686	329
918	3688	325
919	3691	320
920	3693	316
921	3696	312
922	3699	308
923	3701	304
924	3703	300
925	3705	296
926	3707	291
927	3710	287
928	3712	283
929	3714	279
930	3716	275
931	3718	271
932	3723	267
933	3727	263
934	3729	259
935	3731	255
936	3734	251
937	3737	247
938	3744	243
939	3746	239
940	3749	235
941	3752	231
942	3754	226
943	3756	222
944	3759	218
945	3761	214
946	3762	210
947	3765	206
948	3768	202
949	3775	198
950	3777	194
951	3779	190
952	3787	186
953	3789	182
954	3796	178
955	3798	174
956	3800	170
957	3804	166
958	3807	162
959	3809	158
960	3812	154
961	3819	150
962	3822	146
963	3824	142
964	3826	138
965	3828	134
966	3829	130
967	3831	126
968	3835	122
969	3838	118
970	3840	114
971	3842	110
972	3844	106
973	3849	102
974	3852	98
975	3856	94
976	3859	90
977	3861	86
978	3873	83
979	3878	79
980	3881	75
981	3883	71
982	3886	67
983	3888	63
984	3891	59
985	3893	55
986	3896	51
987	3898	47
988	3900	43
989	3902	39
990	3904	35
991	3906	31
992	3910	27
993	3912	23
994	3914	19
995	3916	15
996	3919	11
997	3922	7
998	3925	3
999	3927	0
